education,south,female,workexp,unionmember,wages,age,ethnicity,occupation,sector,married
8,0,1,21,0,5.099999904632568,35,Hispanic,Other,Manufacturing,1
9,0,1,42,0,4.949999809265137,57,White,Other,Manufacturing,1
12,0,0,1,0,6.670000076293945,19,White,Other,Manufacturing,0
12,0,0,4,0,4,22,White,Other,Other,0
12,0,0,17,0,7.5,35,White,Other,Other,1
13,0,0,9,1,13.069999694824219,28,White,Other,Other,0
10,1,0,27,0,4.449999809265137,43,White,Other,Other,0
12,0,0,9,0,19.469999313354492,27,White,Other,Other,0
16,0,0,11,0,13.279999732971191,33,White,Other,Manufacturing,1
12,0,0,9,0,8.75,27,White,Other,Other,0
12,0,0,17,1,11.350000381469727,35,White,Other,Other,1
12,0,0,19,1,11.5,37,White,Other,Manufacturing,0
8,1,0,27,0,6.5,41,White,Other,Other,1
9,1,0,30,1,6.25,45,White,Other,Other,0
9,1,0,29,0,19.979999542236328,44,White,Other,Other,1
12,0,0,37,0,7.300000190734863,55,White,Other,Construction,1
7,1,0,44,0,8,57,White,Other,Other,1
12,0,0,26,1,22.200000762939453,44,White,Other,Manufacturing,1
11,0,0,16,0,3.6500000953674316,33,White,Other,Other,0
12,0,0,33,0,20.549999237060547,51,White,Other,Other,1
12,0,1,16,1,5.710000038146973,34,White,Other,Manufacturing,1
7,0,0,42,1,7,55,Other,Other,Manufacturing,1
12,0,0,9,0,3.75,27,White,Other,Other,0
11,1,0,14,0,4.5,31,Other,Other,Other,1
12,0,0,23,0,9.5600004196167,41,White,Other,Other,1
6,1,0,45,0,5.75,57,White,Other,Manufacturing,1
12,0,0,8,0,9.359999656677246,26,White,Other,Manufacturing,1
10,0,0,30,0,6.5,46,White,Other,Other,1
12,0,1,8,0,3.3499999046325684,26,White,Other,Manufacturing,1
12,0,0,8,0,4.75,26,White,Other,Other,1
14,0,0,13,0,8.899999618530273,33,White,Other,Other,0
12,1,1,46,0,4,64,White,Other,Other,0
8,0,0,19,0,4.699999809265137,33,White,Other,Other,1
17,1,1,1,0,5,24,White,Other,Other,0
12,0,0,19,0,9.25,37,White,Other,Manufacturing,0
12,0,0,36,0,10.670000076293945,54,Other,Other,Other,0
12,1,0,20,0,7.610000133514404,38,Other,Other,Construction,1
12,0,0,35,1,10,53,Other,Other,Construction,1
12,0,0,3,0,7.5,21,White,Other,Other,0
14,1,0,10,0,12.199999809265137,30,White,Other,Manufacturing,1
12,0,0,0,0,3.3499999046325684,18,White,Other,Other,0
14,1,0,14,1,11,34,White,Other,Manufacturing,1
12,0,0,14,0,12,32,White,Other,Manufacturing,1
9,0,1,16,0,4.849999904632568,31,White,Other,Manufacturing,1
13,1,0,8,0,4.300000190734863,27,White,Other,Construction,0
7,1,1,15,0,6,28,White,Other,Manufacturing,1
16,0,0,12,0,15,34,White,Other,Manufacturing,1
10,1,0,13,0,4.849999904632568,29,White,Other,Other,0
8,0,0,33,1,9,47,White,Other,Other,1
12,0,0,9,0,6.360000133514404,27,White,Other,Manufacturing,1
12,0,0,7,0,9.149999618530273,25,White,Other,Other,1
16,0,0,13,1,11,35,White,Other,Manufacturing,1
12,0,1,7,0,4.5,25,White,Other,Manufacturing,1
12,0,1,16,0,4.800000190734863,34,White,Other,Manufacturing,1
13,0,0,0,0,4,19,White,Other,Other,0
12,0,1,11,0,5.5,29,White,Other,Manufacturing,0
13,0,0,17,0,8.399999618530273,36,White,Other,Manufacturing,0
10,0,0,13,0,6.75,29,White,Other,Manufacturing,1
12,0,0,22,1,10,40,Other,Other,Manufacturing,0
12,0,1,28,0,5,46,White,Other,Manufacturing,1
11,0,0,17,0,6.5,34,White,Other,Other,0
12,0,0,24,1,10.75,42,White,Other,Construction,1
3,1,0,55,0,7,64,Hispanic,Other,Manufacturing,1
12,1,0,3,0,11.430000305175781,21,White,Other,Construction,0
12,0,0,6,1,4,24,Other,Other,Manufacturing,0
10,0,0,27,0,9,43,White,Other,Construction,1
12,1,0,19,1,13,37,Other,Other,Manufacturing,1
12,0,0,19,1,12.220000267028809,37,White,Other,Construction,1
12,0,1,38,0,6.28000020980835,56,White,Other,Manufacturing,1
10,1,0,41,1,6.75,57,Other,Other,Manufacturing,1
11,1,0,3,0,3.3499999046325684,20,Other,Other,Manufacturing,0
14,0,0,20,1,16,40,White,Other,Other,1
10,0,0,15,0,5.25,31,White,Other,Other,1
8,1,0,8,0,3.5,22,Hispanic,Other,Manufacturing,1
8,1,1,39,0,4.21999979019165,53,White,Other,Manufacturing,1
6,0,1,43,1,3,55,Hispanic,Other,Manufacturing,1
11,1,1,25,1,4,42,White,Other,Manufacturing,1
12,0,0,11,1,10,29,White,Other,Other,1
12,0,0,12,0,5,30,Other,Other,Other,1
12,1,0,35,1,16,53,White,Other,Manufacturing,1
14,0,0,14,0,13.979999542236328,34,White,Other,Other,0
12,0,0,16,1,13.260000228881836,34,White,Other,Other,1
10,0,1,44,1,6.099999904632568,60,White,Other,Manufacturing,0
16,1,1,13,0,3.75,35,White,Other,Other,0
13,0,0,8,1,9,27,Other,Other,Manufacturing,0
12,0,0,13,0,9.449999809265137,31,White,Other,Manufacturing,0
